Campaign report
"May 1, 2022 - May 20, 2022"
Campaign status,Campaign,Budget name,Currency code,Budget,Budget type,Status,Status reasons,Campaign type,Campaign ID,Impr.,Views,View rate,Avg. CPV,Cost,Video played to 25%,Video played to 50%,Video played to 75%,Video played to 100%,Earned views,Earned playlist additions
Paused,TH_Dolls World عالم الدمى_ReMKT_الورقية_ 2010, --,VND,250000,Daily,Paused,campaign paused; most ads disapproved,Video,11410313505,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_Woa Cake_Discovery_Chocolate Roses(QG)_1901, --,VND,100000,Daily,Paused,campaign paused; unknown,Video,12118980850,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Cakes_Instream_Amazing Cake Design_0802, --,VND,100000,Daily,Paused,campaign paused,Video,12290592466,0,0, --, --,0, --, --, --, --,0,0
Paused,Doll_Discovery_2305, --,VND,300000,Daily,Paused,campaign paused,Video,1946843221,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts_Discovery_Mysterious Doors_3003, --,VND,100000,Daily,Paused,campaign paused; most ads disapproved,Video,12649019889,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts_Discovery_Purple vs Rainbow_0106, --,VND,200000,Daily,Paused,campaign paused; most ads disapproved,Video,13335660680,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts_Discovery_Baby Shark_0308, --,VND,100000,Daily,Paused,campaign paused; unknown,Video,14134719567,0,0, --, --,0, --, --, --, --,0,0
Paused,Laugh Out Loud_Discovery_2310, --,VND,100000,Daily,Paused,campaign paused; most ads disapproved,Video,7232898438,0,0, --, --,0, --, --, --, --,0,0
Paused,Woa Doodle_Discovery_Pumpkin_711, --,VND,50000,Daily,Paused,campaign paused; most ads disapproved,Video,7994491654,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts_Discovery_Rainbow Skirt Season 2_2203, --,VND,100000,Daily,Paused,campaign paused; most ads disapproved,Video,12600402144,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts_Discovery_Spa Beauty_0405, --,VND,100000,Daily,Paused,campaign paused; most ads disapproved,Video,12958668627,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_Woa Doll Crafts_Discovery_Spongebob Vs Patrick_1008, --,VND,100000,Daily,Paused,campaign paused; unknown,Video,14220024364,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts_Discovery_Rich and Poor Families_0909, --,VND,300000,Daily,Paused,campaign paused; unknown,Video,14579960579,0,0, --, --,0, --, --, --, --,0,0
Paused,Doll_Instream_1305, --,VND,100000,Daily,Paused,campaign paused; most ads disapproved,Video,1896107255,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_Woa Doll Crafts_Discovery_Adorable House Rabbit_1405, --,VND,100000,Daily,Paused,campaign paused; most ads disapproved,Video,13085985599,0,0, --, --,0, --, --, --, --,0,0
Paused,Doll Beauty_Discovery_2404, --,VND,200000,Daily,Paused,campaign paused,Video,1815969835,0,0, --, --,0, --, --, --, --,0,0
Paused,Woa DD_Discovery_Drunk Car_0412, --,VND,50000,Daily,Paused,campaign paused; most ads disapproved,Video,8395690559,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_Woa Doll Crafts_Discovery_Rainbow Skirt and wedding_0403, --,VND,100000,Daily,Paused,campaign paused; unknown,Video,12466076094,0,0, --, --,0, --, --, --, --,0,0
Paused,Snake Channel_Discovery_1907, --,VND,150000,Daily,Paused,campaign paused; most ads disapproved,Video,2070694927,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_Woa Doll Crafts_Discovery(ReMKT)_Mommy Mermaid Baby_1802, --,VND,200000,Daily,Paused,campaign paused,Video,12363327829,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Channel_Discovery_Pink and Black_1210, --,VND,100000,Daily,Paused,campaign paused; unknown,Video,14928282907,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Channel_Discovery_SQUID GAME_1201(key), --,VND,100000,Daily,Paused,campaign paused; unknown,Video,15840201492,0,0, --, --,0, --, --, --, --,0,0
Paused,Dolss MakeUp Instream T11, --,VND,80000,Daily,Paused,campaign paused; most ads disapproved,Video,1640559983,0,0, --, --,0, --, --, --, --,0,0
Paused,Doll_Discovery_1805_10k, --,VND,100000,Daily,Paused,campaign paused; most ads disapproved,Video,1922422277,0,0, --, --,0, --, --, --, --,0,0
Paused,Woa Doodle_Discovery_Mask_1311, --,VND,100000,Daily,Paused,campaign paused; most ads disapproved,Video,8085431500,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_Woa Doll Crafts_Discovery_a Boo Boo_1802, --,VND,100000,Daily,Paused,campaign paused; most ads disapproved,Video,12360875279,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_Woa Cake_Discovery_Easy Colorful Cake_0403, --,VND,100000,Daily,Paused,campaign paused; unknown,Video,12466254195,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts_Discovery_Adorable Twin Princess_2004, --,VND,100000,Daily,Paused,campaign paused; most ads disapproved,Video,12796420488,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts_Unicorn Vs Rainbow_1007, --,VND,200000,Daily,Paused,campaign paused; unknown,Video,13849397982,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_Dolls Beauty_Discovery_Pikachu House_2209, --,VND,100000,Daily,Paused,campaign paused; unknown,Video,14736553568,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts_Discovery_Find Mom Papercraft_2203, --,VND,100000,Daily,Paused,campaign paused; most ads disapproved,Video,12600424008,0,0, --, --,0, --, --, --, --,0,0
Paused,Woa DD_Discovery_Fat_0711, --,VND,50000,Daily,Paused,campaign paused; most ads disapproved,Video,7994133567,0,0, --, --,0, --, --, --, --,0,0
Paused,TH_Dolls World عالم الدمى_ReMKT_Dolls Dress Up_1012, --,VND,100000,Daily,Paused,campaign paused; most ads disapproved,Video,11821169278,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_Woa Doll Crafts_Discovery(ReMKT Doll)_Rapunzel and Sadako_2302, --,VND,100000,Daily,Paused,campaign paused,Video,12402023921,0,0, --, --,0, --, --, --, --,0,0
Paused,DollBeauty_12082018, --,VND,100000,Daily,Paused,campaign paused; most ads disapproved,Video,1505567182,0,0, --, --,0, --, --, --, --,0,0
Paused,Lego_Brick Rising_Lego Prison Break_1802, --,VND,100000,Daily,Paused,campaign paused; most ads disapproved,Video,9428394883,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_Woa Cake_Discovery_Shape Doll Girls_1802, --,VND,100000,Daily,Paused,campaign paused,Video,12362877504,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts_Discovery_Unicorn Vs Rainbow_0807, --,VND,100000,Daily,Paused,campaign paused; most ads disapproved,Video,13825950467,0,0, --, --,0, --, --, --, --,0,0
